[0.05420878 0.3148114  0.04797956 0.60936119 0.9703707  0.49218721],[0.23335833 0.85885714 0.1469059  0.99757284 0.58847494 0.53306802],[0.57652447 0.76495104 0.0249588  0.78888727 0.38985127 0.79619672],[0.21102158 0.33841817 0.78922626 0.54216787 0.03282333 0.03604323],[0.35573441 0.25515918 0.28543942 0.1406195  0.38130385 0.29372813],[0.25783487 0.70299576 0.22248774 0.61820249 0.54675848 0.85838217]
[0.37473947 0.412356   0.71942067 0.16121496 0.33054922 0.65991697],[0.14653881 0.83087231 0.77994163 0.25433509 0.69493237 0.91006095],[0.35725106 0.08522573 0.90323715 0.13639373 0.0553385  0.81694662],[0.27858152 0.63219052 0.54855365 0.76471601 0.3117749  0.54129861],[0.86507192 0.61962771 0.28768681 0.58962685 0.5283747  0.73537057],[0.02915691 0.20012777 0.96845624 0.65642109 0.02498822 0.17556131]
[0.02802563 0.34056415 0.52052368 0.91096152 0.06634009 0.7684377 ],[0.45305716 0.3017829  0.86303625 0.65418947 0.30635544 0.39668332],[0.52036635 0.04457395 0.36102357 0.83592844 0.5165697  0.13326536],[0.04081493 0.28113753 0.28267565 0.09702822 0.16311742 0.56185742],[0.13012698 0.72700882 0.7472036  0.4987796  0.31614584 0.46544817],[0.54012002 0.24881643 0.44602311 0.30546577 0.75227555 0.13251805]
[0.51585565 0.03512499 0.74324448 0.22683111 0.09154529 0.47410514],[0.3131383  0.24351293 0.02703029 0.95947828 0.30009356 0.30806065],[0.66676796 0.38790164 0.10754952 0.23629067 0.2429576  0.03727499],[0.69878231 0.6190065  0.18783313 0.38116142 0.41175336 0.15556876],[0.12148752 0.77122047 0.244829   0.23310201 0.49543378 0.98810683],[0.57538395 0.65221009 0.20134804 0.90610645 0.06032182 0.03544765]
[0.06381266 0.49760156 0.71317204 0.30743828 0.62631389 0.26636347],[0.11864826 0.98212489 0.99483637 0.66955572 0.74349709 0.80218586],[0.70042731 0.85115806 0.342654   0.45256714 0.34397668 0.98565516],[0.44989613 0.32988975 0.5663517  0.63822523 0.65432471 0.38129293],[0.0272409  0.60656497 0.77911128 0.01540913 0.4695332  0.74120949],[0.04280525 0.95450328 0.94445714 0.8242732  0.48351938 0.90260772]
[0.9474396  0.85967928 0.33011069 0.33689275 0.9099373  0.3809742 ],[0.52130587 0.01690738 0.22832493 0.64633981 0.79529205 0.01210466],[0.80322219 0.71006184 0.46087117 0.53537725 0.94863365 0.68670522],[0.9733626  0.51406887 0.08740953 0.84267887 0.40144479 0.97191103],[0.9251389  0.74423724 0.41888467 0.55622074 0.31067073 0.06477863],[0.69656919 0.01630398 0.10785427 0.36033012 0.31061406 0.87284345]
[ 0.63698841  0.52218214  0.39962502  0.82765907 -0.01362125  0.0476217 ],[0.69398787 0.42923673 0.50194508 0.27285594 0.77593023 0.49349508],[0.19232275 0.7178295  0.7917426  0.88468789 0.04024373 0.19358925],[ 0.85699441  0.21094575  0.0169554  -0.01323344  0.87208148  0.23282857],[ 0.47524118  0.35527639 -0.02252014  0.17184409  0.28196276  0.48077628],[0.65217425 0.13670961 0.13557758 0.33588549 0.75969595 0.93160711]
[ 0.12138381  0.41907654  0.21851759  0.12071337  0.35052422 -0.14594577],[0.35699599 0.22299511 0.26900623 0.08038784 0.74960186 0.53381098],[0.04864149 0.88306165 0.88577934 0.06220002 0.63967812 0.0688222 ],[-0.0919826   0.7383458  -0.14002652 -0.16893197 -0.18240063  0.63651567],[ 0.6464876   0.43082489 -0.09583731  0.02286251  0.81862438  0.05175017],[ 0.30363863  0.04199142 -0.14319883 -0.2703172   0.70009121 -0.26618863]
[ 0.2377583  -0.11856802 -0.32371696 -0.01428415 -0.43681394  0.06915044],[-0.62903191 -0.55633881 -0.43125381 -0.01661101 -0.67692057 -0.42063445],[ 0.01340308 -0.81667146 -0.8111241  -0.79852955 -0.39126273 -0.02770816],[0.56236761 0.4549634  0.90548078 0.32558496 0.81559189 0.4449605 ],[ 0.1477035  -0.62379317 -0.18218275  0.13594294 -0.336993    0.04142442],[0.30155281 0.9697913  1.17853282 0.87593191 1.07826077 0.46591509]
[-0.00644926 -0.26961151  0.18747299 -1.0777487   0.02099637 -1.70743429],[ 0.05514945 -0.28236464 -0.52440946 -0.68982544 -0.25685406 -1.92882776],[-0.66092189 -0.37111855 -0.19429264 -0.88172869 -0.41910827 -1.42306009],[-0.44707547 -0.11587124 -0.00939215 -0.91730422 -0.05697196 -1.65898502],[ 0.12594784  0.10891263 -0.15661258 -0.80755189 -0.43579297 -1.86659868],[-0.42961366  0.04287203 -0.01389024 -1.33044057 -0.07806762 -1.28962137]
[-1.5457251  -1.51252811 -1.39023053 -1.48484104 -1.51981739 -1.48636428]
