[0.08213278 0.70499092 0.5185826  0.28274303 0.96596471 0.32560103],[0.64096135 0.83880241 0.64616855 0.54183654 0.75937188 0.72731741],[0.29492231 0.14487221 0.96286527 0.35319509 0.70032843 0.9311248 ],[0.38477014 0.27251222 0.82265642 0.82689927 0.70525583 0.00311481],[0.9526587  0.78300227 0.22423447 0.1816461  0.87292341 0.29029942],[0.70296504 0.95757228 0.92816815 0.74959847 0.15336042 0.1819774 ],[0.2144465  0.61270429 0.3782446  0.14587293 0.03080824 0.05798875],[0.99884153 0.47712937 0.68086883 0.7145583  0.14320466 0.41184033],[0.96480411 0.01000142 0.25699422 0.50612736 0.439443   0.0096103 ],[0.30408875 0.160617   0.79600496 0.72983451 0.12346806 0.73991009],[0.06340407 0.39666187 0.24122406 0.20086054 0.12384345 0.09238646],[0.9300825  0.25701129 0.80412734 0.78831502 0.67122729 0.21604053]
"[0.80788967 0.42767155 0.28695815 0.8352925  0.98897132 0.42636888
 0.53058096 0.17265453 0.91041383 0.58114112 0.77189406 0.02301183]","[0.38137795 0.54104246 0.00324805 0.34112792 0.88092997 0.30090525
 0.43166544 0.23794544 0.6783832  0.50698513 0.64850296 0.55421823]","[0.21685566 0.83874103 0.96281377 0.66738207 0.43985142 0.18074953
 0.25844009 0.08232077 0.01333942 0.07455262 0.87610263 0.95634004]","[0.60935037 0.26236578 0.50228994 0.91501911 0.60663266 0.03258871
 0.69116258 0.46425036 0.95028228 0.17024319 0.00717353 0.98526399]","[0.76245419 0.97549697 0.54372168 0.14926766 0.46032491 0.93606757
 0.70453617 0.69020855 0.94563849 0.89220969 0.37655333 0.04372034]","[0.30578511 0.85830743 0.1129705  0.61971917 0.86320155 0.09902573
 0.41347182 0.11555396 0.19078315 0.25019098 0.8282641  0.72972831]","[0.72472529 0.92362101 0.17934935 0.62414865 0.10807094 0.80883574
 0.76531136 0.98772635 0.29977737 0.74211227 0.28400985 0.55966485]","[0.8295698  0.4400592  0.3729238  0.05450845 0.5866413  0.79947165
 0.79803272 0.15490202 0.73303868 0.27429705 0.71995569 0.38877493]","[0.87140187 0.66529915 0.97216786 0.43166052 0.47776289 0.24083859
 0.40961885 0.00664032 0.57310741 0.5066716  0.47948601 0.41059445]","[0.86371358 0.76845106 0.04676962 0.03529637 0.62277224 0.67796314
 0.12996858 0.18129189 0.45268987 0.38554819 0.75159753 0.35352765]","[0.66719457 0.19996567 0.57203392 0.64711692 0.96637414 0.88656461
 0.03091975 0.94820434 0.2826982  0.74032366 0.46887846 0.88104251]","[0.02398912 0.97877895 0.05980925 0.76222812 0.09928634 0.67704358
 0.548439   0.33923313 0.0281303  0.73811245 0.29022611 0.76891488]"
"[0.66110335 0.30958741 0.59097755 0.12406923 0.46676685 0.07386473
 0.21946234 0.92939063 0.77704831 0.24559197 0.97722794 0.62925329]","[0.84696819 0.77708997 0.09642061 0.72644752 0.28961169 0.19354425
 0.05027565 0.563251   0.92846993 0.93624592 0.59860012 0.48340505]","[0.85360282 0.50277915 0.46518739 0.58564069 0.30209868 0.4316623
 0.55140051 0.63243109 0.25886608 0.93143669 0.25115759 0.38219347]","[0.51544094 0.13628938 0.25312121 0.98506106 0.52414302 0.1288114
 0.44866301 0.65072399 0.78576419 0.67937398 0.33758714 0.01201947]","[0.8661587  0.80185089 0.22148772 0.76763719 0.06151883 0.76960114
 0.55555106 0.03653192 0.24113845 0.0982417  0.33645384 0.52317733]","[0.13367102 0.77724504 0.8136736  0.25258751 0.51629353 0.80220444
 0.12600007 0.3976975  0.8838661  0.76072284 0.17623722 0.65664303]","[0.25639353 0.0199613  0.50747859 0.8456487  0.04644175 0.37615605
 0.18695172 0.44562787 0.06448318 0.75918373 0.21305124 0.93827942]","[0.39275696 0.09644028 0.05613384 0.03857558 0.69593032 0.50224844
 0.16938664 0.85832193 0.1770526  0.71822376 0.00097006 0.4683807 ]","[0.18163172 0.81108373 0.97545913 0.5734203  0.62119853 0.41143973
 0.35144219 0.40515236 0.09414488 0.36479688 0.31641796 0.49094832]","[0.99204975 0.16983592 0.29080755 0.9159258  0.40093484 0.66659502
 0.10748793 0.42605333 0.84890607 0.49183291 0.98380351 0.71658369]","[0.44023621 0.22633567 0.09226293 0.17021304 0.88898937 0.90923577
 0.63540494 0.42205721 0.12702452 0.93756028 0.07015002 0.55190724]","[0.51869224 0.24941446 0.9979353  0.8264677  0.86824531 0.46163311
 0.7477781  0.28159358 0.02611393 0.0233829  0.16409726 0.69870137]"
"[0.65075561 0.51249597 0.98505086 0.16854978 0.91429339 0.42721474
 0.048784   0.6595664  0.6595766  0.07778411 0.94631598 0.53483651]","[0.43024533 0.00172624 0.40875218 0.62151099 0.52407188 0.68989831
 0.91152937 0.04882725 0.58910571 0.31787524 0.01000331 0.62809779]","[0.43550924 0.09062602 0.4731228  0.5517056  0.39478407 0.57553034
 0.01694719 0.23677267 0.35214508 0.92363837 0.09948264 0.34868278]","[0.93586706 0.33182261 0.87230561 0.38464614 0.33836143 0.04410985
 0.68314878 0.29865756 0.52473509 0.15765826 0.59586178 0.56051013]","[0.77815811 0.32957806 0.36570901 0.65400548 0.54505414 0.52161721
 0.542802   0.84476487 0.9687651  0.68200951 0.05672484 0.16048033]","[0.67583364 0.41330295 0.90861587 0.03098762 0.34747089 0.25097018
 0.10775737 0.99596112 0.89750409 0.29099857 0.37424132 0.61374086]","[0.78383582 0.01816603 0.482074   0.47881487 0.68633912 0.50880248
 0.60280653 0.25576881 0.07623691 0.92196976 0.81713953 0.96211632]","[0.85774466 0.50694542 0.40209084 0.92373214 0.26290196 0.08853983
 0.08407108 0.40945204 0.95328854 0.71012577 0.63155077 0.82670479]","[0.29293531 0.40946427 0.42928095 0.21846071 0.83809321 0.03914662
 0.73943267 0.42554637 0.91644778 0.98182286 0.43540924 0.61399703]","[0.93936989 0.65453704 0.68316823 0.58595054 0.41288644 0.18813444
 0.83571694 0.7703581  0.74489565 0.86778749 0.62399153 0.83180391]","[0.17384462 0.95995055 0.24535981 0.10229512 0.95385837 0.07507298
 0.58115029 0.59751171 0.52995035 0.06650908 0.74732463 0.28656134]","[0.54957135 0.40491255 0.60613558 0.24757575 0.30096287 0.84128992
 0.78666537 0.58298716 0.54211456 0.53116279 0.27185191 0.61996279]"
"[0.86794437 0.53243795 0.80477271 0.69479673 0.71917001 0.69530259
 0.26661792 0.94962146 0.29595471 0.76721098 0.87700237 0.75837019]","[0.35126774 0.80549008 0.29605041 0.67242364 0.36648924 0.13169812
 0.26578801 0.90353066 0.55449072 0.16299784 0.98654116 0.47016133]","[0.4164022  0.96366733 0.90704681 0.33342412 0.26265979 0.78527753
 0.79108283 0.10814826 0.31132001 0.3339467  0.48275302 0.87889622]","[0.71814938 0.29350492 0.62895219 0.90136219 0.4989945  0.2108586
 0.68950677 0.69645966 0.05479954 0.09471052 0.57898768 0.99133312]","[0.3000097  0.20293993 0.40456557 0.6435071  0.84896532 0.21723192
 0.92928212 0.7709516  0.45783254 0.22645448 0.25849059 0.03606372]","[0.9707768  0.06248333 0.42824331 0.85438176 0.25247569 0.29177039
 0.46591844 0.19613538 0.04639411 0.40766197 0.7835144  0.61653196]","[0.05065603 0.04005748 0.4372935  0.09673958 0.47434655 0.28246183
 0.41586413 0.57547589 0.10222104 0.48334049 0.70637687 0.92173387]","[0.70120731 0.16083866 0.77611084 0.84318846 0.62508732 0.09009538
 0.29835326 0.91910321 0.06755112 0.5261001  0.39022066 0.21869065]","[0.35996942 0.91552147 0.57874352 0.3155185  0.77262086 0.01568498
 0.05126123 0.26171535 0.48277159 0.19091178 0.14043457 0.40267895]","[0.96630945 0.54825061 0.52339545 0.74466479 0.40225331 0.42462332
 0.90772999 0.56519239 0.69404575 0.2971571  0.36759785 0.14721193]","[0.42954735 0.02858705 0.75717462 0.90991837 0.47719539 0.87697353
 0.46455216 0.63295376 0.33665669 0.6583009  0.35596411 0.22037358]","[0.06191828 0.867271   0.64609699 0.23612142 0.20995717 0.90881797
 0.49376954 0.33381572 0.56809346 0.09462248 0.71743193 0.53313341]"
"[0.73393208 0.56288566 0.59427477 0.7510233  0.20543727 0.56580682
 0.37581899 0.74381269 0.70152581 0.00496614 0.84383063 0.61948891]","[0.5762965  0.1528529  0.74672709 0.83459049 0.73031209 0.83295172
 0.08754072 0.99087785 0.57487337 0.75609309 0.74916204 0.45796595]","[2.47449053e-01 7.12578424e-01 8.16909827e-01 1.71479643e-01
 6.05328617e-01 5.66535529e-01 4.35619867e-04 4.64580329e-01
 3.44379286e-01 6.33003014e-01 7.30198317e-01 3.07412429e-01]","[0.01402701 0.49603146 0.02680784 0.35787823 0.94022383 0.97050595
 0.40342078 0.92904283 0.48187064 0.82254018 0.58943935 0.00713468]","[0.67638869 0.61786371 0.67183133 0.07403061 0.01106249 0.74193755
 0.76290091 0.51462706 0.14885413 0.70021528 0.15602825 0.80849986]","[0.14353625 0.85857003 0.94340461 0.53850112 0.4299276  0.07400987
 0.19267299 0.52045266 0.79964356 0.45686464 0.44733223 0.88328251]","[0.09940954 0.41254806 0.40590631 0.26195889 0.35242963 0.64159315
 0.28024561 0.04220448 0.78130303 0.6032777  0.32362219 0.72341324]","[0.27327292 0.93661308 0.2687907  0.20915139 0.92978183 0.32944541
 0.1437154  0.28495583 0.52677801 0.59611843 0.36450007 0.95438449]","[0.16025794 0.98895376 0.14996425 0.05127809 0.43054515 0.31011012
 0.56782378 0.33046305 0.68382157 0.43870883 0.78151345 0.83226425]","[0.79108424 0.52220957 0.9388522  0.34640525 0.70535699 0.79420762
 0.33718807 0.0306967  0.91419618 0.74096861 0.32911655 0.08225867]","[0.72851244 0.12365111 0.92831678 0.73094594 0.94871705 0.79381596
 0.09170724 0.86593246 0.73164511 0.82104721 0.81973267 0.43612433]","[0.57827095 0.36236809 0.78636097 0.73763831 0.82456084 0.51447806
 0.6543681  0.59647602 0.73373183 0.98254036 0.66374437 0.60655744]"
"[0.35217996 0.1098507  0.83141038 0.12181271 0.97921998 0.10518029
 0.12068894 0.65221812 0.32041173 0.27810166 0.32217444 0.34423616]","[0.21141704 0.12101261 0.29803457 0.79153027 0.92039768 0.70101322
 0.40095913 0.07006813 0.07171891 0.13563666 0.42321479 0.49172942]","[0.33550002 0.59471284 0.36750979 0.6714847  0.80644488 0.34675888
 0.32198801 0.92997841 0.25759046 0.84255967 0.12240369 0.15787093]","[0.92254009 0.49930578 0.55955876 0.12396437 0.12223824 0.55894478
 0.49023691 0.70661373 0.62955208 0.06763865 0.38955799 0.24038549]","[0.11556373 0.94165393 0.64052678 0.82679689 0.23219999 0.01434651
 0.77750457 0.36793767 0.09531734 0.10022926 0.3692941  0.545407  ]","[0.95205498 0.86233486 0.58722189 0.94903896 0.24484492 0.95169716
 0.60151404 0.7256445  0.93061073 0.99465773 0.2473713  0.48760412]","[0.08718919 0.36142406 0.52220828 0.06479412 0.40453222 0.07598571
 0.55109545 0.88098201 0.65627125 0.31663657 0.30825444 0.73935442]","[0.84694871 0.95942705 0.13227216 0.23405221 0.85579053 0.02265695
 0.85182096 0.62461172 0.59578757 0.7419064  0.66596214 0.18055616]","[0.20327434 0.577367   0.72395486 0.68452139 0.55181025 0.5195512
 0.45052458 0.6007599  0.34799506 0.83331164 0.25815467 0.21424944]","[0.84131495 0.2657328  0.16963859 0.88199615 0.40751665 0.31559945
 0.1040169  0.65709044 0.55076294 0.41677973 0.54056349 0.8741024 ]","[0.37060158 0.22475375 0.2062981  0.11291621 0.92258645 0.02145176
 0.3575912  0.48385059 0.49825245 0.5587579  0.77317019 0.85887036]","[0.36926522 0.55171288 0.00286793 0.46354995 0.59677547 0.12936289
 0.89738458 0.95516023 0.13958447 0.36194743 0.38312947 0.66838817]"
"[0.42356612 0.10662047 0.17380363 0.4879435  0.71253583 0.71119219
 0.38041011 0.09300519 0.36641097 0.5714312  0.93550396 0.83194189]","[0.73748431 0.88349632 0.54801285 0.99670084 0.66988412 0.36189112
 0.1247906  0.46280992 0.91663483 0.78946997 0.30383518 0.78255949]","[0.27012937 0.7919381  0.06725292 0.31139261 0.70765082 0.00814435
 0.22816043 0.20042296 0.64352527 0.00143337 0.33735812 0.61184448]","[0.89572502 0.52093987 0.09074808 0.40484442 0.39665268 0.26244371
 0.93932619 0.71816179 0.8844531  0.72999263 0.59365479 0.65759021]","[0.65336215 0.6973272  0.63148769 0.50694431 0.51898647 0.94612647
 0.82981883 0.04127036 0.56304528 0.62684067 0.66111889 0.75466024]","[0.35304016 0.55737784 0.22242304 0.18026396 0.50812293 0.3485235
 0.63217344 0.04845574 0.95192913 0.6079771  0.86858211 0.60746216]","[0.47473025 0.05837572 0.76620041 0.30943501 0.61480712 0.61890556
 0.04113952 0.40349467 0.54576008 0.40925413 0.60849009 0.11075602]","[0.98371294 0.16897575 0.83273653 0.09972351 0.82789701 0.44540903
 0.14189171 0.76130633 0.31594331 0.7365068  0.80057659 0.58105122]","[0.56645765 0.65985671 0.80175569 0.55397497 0.19375713 0.3027049
 0.28405101 0.42425323 0.30500917 0.60883379 0.99586117 0.49044421]","[0.44656632 0.27322548 0.25325288 0.82532146 0.28277211 0.55318122
 0.99623587 0.3785821  0.4147142  0.31401633 0.31640531 0.23792876]","[0.85620566 0.07257256 0.6332429  0.5512201  0.69102722 0.01200163
 0.73512581 0.57689062 0.4735805  0.41771747 0.64474139 0.14474905]","[0.77000364 0.6791893  0.50332386 0.20122253 0.63442448 0.00749624
 0.35275032 0.40497777 0.13974375 0.88256732 0.00643224 0.96623859]"
"[0.37136813 0.20529699 0.80108534 0.30832971 0.09696464 0.09221876
 0.2874957  0.31156072 0.69975394 0.08198351 0.94750716 0.05213112]","[0.63381228 0.21891201 0.80523342 0.45973353 0.0670304  0.13101987
 0.84510489 0.51484961 0.85622364 0.24476184 0.86936607 0.8788833 ]","[0.53254436 0.92909344 0.77958917 0.44561219 0.76440132 0.56368569
 0.86135452 0.66615238 0.34624666 0.20348639 0.15156075 0.33158059]","[0.71429178 0.47733047 0.84359925 0.83433211 0.39719178 0.31537933
 0.38519623 0.76629379 0.97729302 0.30917953 0.15736278 0.06410059]","[0.36904383 0.65682976 0.51929423 0.7737779  0.76934887 0.42244053
 0.24954829 0.64761166 0.78208709 0.50930958 0.2724062  0.96352284]","[0.68186832 0.39076731 0.10639409 0.74270544 0.46311409 0.35940137
 0.92388085 0.24730287 0.33497889 0.05626506 0.95989536 0.61067609]","[0.74725289 0.7629059  0.81555656 0.1618359  0.30616408 0.1767819
 0.55223933 0.2457275  0.88270666 0.56903864 0.8313085  0.51530588]","[0.55872385 0.07697575 0.12389331 0.0558821  0.74851706 0.78622195
 0.01653112 0.00381165 0.19251747 0.24099656 0.37400915 0.85226595]","[0.61788453 0.19830875 0.97438629 0.29235858 0.02457875 0.77143478
 0.87279672 0.39220926 0.55040076 0.95748629 0.1248425  0.12209505]","[0.00344345 0.29530294 0.98464889 0.64373875 0.28124122 0.53598049
 0.90360184 0.69138888 0.82678134 0.44559669 0.5542274  0.80061893]","[0.91023751 0.9793509  0.85868801 0.95537208 0.71197405 0.78463337
 0.76647166 0.25694117 0.60041958 0.10395624 0.79512769 0.07808396]","[0.26552676 0.3364947  0.97946575 0.42670493 0.56716346 0.8533247
 0.48399939 0.49451518 0.12121331 0.05668772 0.91681905 0.27182252]"
"[0.07505971 0.15957282 0.07065773 0.43837549 0.73579487 0.89981504
 0.32164971 0.59341084 0.26034011 0.12076393 0.44261128 0.05663197]","[0.8679863  0.52951643 0.28669346 0.08302793 0.57454079 0.0546678
 0.98725685 0.41322601 0.12838285 0.8116676  0.12582239 0.09020368]","[0.9268386  0.88098338 0.15914116 0.25560257 0.98408416 0.56693363
 0.48942731 0.15008827 0.3626223  0.64361339 0.52543038 0.13155416]","[0.07939039 0.02285004 0.02665689 0.98918188 0.46180355 0.968125
 0.75054321 0.5035633  0.63773428 0.18842036 0.44089193 0.83069179]","[0.76023684 0.48542623 0.79328653 0.88496885 0.54874245 0.18906859
 0.4214316  0.34840761 0.37352847 0.16615588 0.04314438 0.32929971]","[0.51088234 0.11374906 0.24686974 0.1317131  0.28148431 0.54131571
 0.54300392 0.07373705 0.60749329 0.25726535 0.03235769 0.92415342]","[0.87369361 0.34678983 0.77532413 0.81195836 0.08602681 0.71281898
 0.35961083 0.46411079 0.60750828 0.15685015 0.16314183 0.87759584]","[0.66329268 0.80202883 0.15689471 0.59921957 0.97892141 0.34072079
 0.20902816 0.59769276 0.19074107 0.88841814 0.11605612 0.25820989]","[0.30872385 0.38536395 0.30684654 0.94351849 0.74876865 0.13387601
 0.64910553 0.07852714 0.62955895 0.94698128 0.03440078 0.62314081]","[0.38493654 0.0915394  0.96716847 0.68972611 0.97851396 0.49650638
 0.95696563 0.86834295 0.42133155 0.14150918 0.72085787 0.5072008 ]","[0.10661689 0.5739073  0.82901212 0.28792041 0.2410609  0.96232401
 0.14514687 0.18420899 0.66566148 0.19506981 0.32363582 0.71490955]","[0.12945083 0.25222039 0.62649387 0.45428009 0.61781406 0.16645202
 0.24994614 0.77252017 0.70423516 0.14135893 0.83825095 0.665288  ]"
